,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,start,end,BTC,ETH,BNB,XRP,LTC
0,0,0,0,0,0,01/04/2016,01/01/2016,-1.0,-1.0,-1.0,-1.0,-1.0
1,1,1,1,1,1,01/07/2016,01/04/2016,-1.0,-1.0,-1.0,-1.0,-1.0
2,2,2,2,2,2,01/10/2016,01/07/2016,-1.0,-1.0,-1.0,-1.0,-1.0
3,3,3,3,3,3,01/01/2017,01/10/2016,-1.0,-1.0,-1.0,-1.0,-1.0
4,4,4,4,4,4,01/04/2017,01/01/2017,-1.0,-1.0,-1.0,-1.0,-1.0
5,5,5,5,5,5,01/07/2017,01/04/2017,-1.0,-1.0,-1.0,-1.0,-1.0
6,6,6,6,6,6,01/10/2017,01/07/2017,-1.0,-1.0,-1.0,-1.0,-1.0
7,7,7,7,7,7,01/01/2018,01/10/2017,-1.0,-1.0,-1.0,-1.0,-1.0
8,8,8,8,8,8,01/04/2018,01/01/2018,-1.0,-1.0,-1.0,-1.0,-1.0
9,9,9,9,9,9,01/07/2018,01/04/2018,-1.0,-1.0,-1.0,-1.0,0.1928259472786385
10,10,10,10,10,10,01/10/2018,01/07/2018,-1.0,-1.0,-1.0,-1.0,3.334014072388315
11,11,11,11,11,11,01/01/2019,01/10/2018,-1.0,-1.0,-1.0,-1.0,3.077784536914966
12,12,12,12,12,12,01/04/2019,01/01/2019,-1.0,-1.0,-1.0,0.1701614791502981,3.880092982073199
13,13,13,13,13,13,01/07/2019,01/04/2019,0.41863182856667,0.2890242061291729,2.1278945127346485,2.58415584990888,5.551888115800332
14,14,14,14,14,14,01/10/2019,01/07/2019,0.9380233253808872,2.257329217527098,0.8255489272804122,1.8339750872911744,3.2439213415859576
15,15,15,15,15,15,01/01/2020,01/10/2019,1.854224891803688,1.7478948766964184,1.621647515006276,3.863896177054636,6.11896648921283
16,16,16,16,16,16,01/04/2020,01/01/2020,2.6232578886304343,3.536594496931924,0.7934637083342055,5.551633950702687,3.2271326036553827
17,17,17,17,17,17,01/07/2020,01/04/2020,3.0571589736256515,3.368508754370744,2.7810056057989168,4.267399801801215,5.844408649419669
18,18,18,18,18,18,01/10/2020,01/07/2020,3.417925044432491,3.536857280146404,2.801037911526932,1.4551451543671512,4.419967833694118
19,19,19,19,19,19,01/01/2021,01/10/2020,2.574002189610092,1.2770947440470632,2.031331413217745,0.1530774918134352,5.407315579442589
20,20,20,20,20,20,01/04/2021,01/01/2021,0.9736124720996358,0.8664774580977282,3.8288457933127207,4.551856677351323,0.9510284314646882
21,21,21,21,21,21,01/07/2021,01/04/2021,1.7188839596481176,1.8851655673957528,5.683169834133746,1.052668442862665,9.245470145905877
22,22,22,22,22,22,01/10/2021,01/07/2021,1.0072147828740303,3.212098796542788,4.6021285351873855,2.8537672738782627,0.5175709386447349
23,23,23,23,23,23,01/01/2022,01/10/2021,1.6211441086270215,2.1465784696430714,0.744296732890018,0.7891195853805114,-1.0
24,24,24,24,24,24,01/04/2022,01/01/2022,1.05610772507477,0.7800894783209753,1.5188656824843756,2.2956550161325904,-1.0
25,25,25,25,25,25,01/07/2022,01/04/2022,1.4853987405529263,1.275199034415874,0.6152789451860521,-0.0418768777488661,-1.0
26,26,26,26,26,26,01/10/2022,01/07/2022,0.7588539439077339,1.1658230930782194,-1.0,-1.0,-1.0
