,start,end,BTC,ETH,BNB,XRP,LTC
0,01/04/2016,01/01/2016,-1.0,-1.0,-1.0,-1.0,-1.0
1,01/07/2016,01/04/2016,-1.0,-1.0,-1.0,-1.0,-1.0
2,01/10/2016,01/07/2016,-1.0,-1.0,-1.0,-1.0,-1.0
3,01/01/2017,01/10/2016,-1.0,-1.0,-1.0,-1.0,-1.0
4,01/04/2017,01/01/2017,-1.0,-1.0,-1.0,-1.0,-1.0
5,01/07/2017,01/04/2017,-1.0,-1.0,-1.0,-1.0,-1.0
6,01/10/2017,01/07/2017,-1.0,-1.0,-1.0,-1.0,-1.0
7,01/01/2018,01/10/2017,-1.0,-1.0,-1.0,-1.0,-1.0
8,01/04/2018,01/01/2018,-1.0,-1.0,-1.0,-1.0,-1.0
9,01/07/2018,01/04/2018,-1.0,-1.0,-1.0,-1.0,-1.0
10,01/10/2018,01/07/2018,-1.0,-1.0,-1.0,-1.0,-1.0
11,01/01/2019,01/10/2018,-1.0,-1.0,-1.0,-1.0,-1.0
12,01/04/2019,01/01/2019,-1.0,-1.0,-1.0,-1.0,-1.0
13,01/07/2019,01/04/2019,-1.0,-1.0,-1.0,-1.0,-1.0
14,01/10/2019,01/07/2019,-1.0,-1.0,-1.0,-1.0,-1.0
15,01/01/2020,01/10/2019,-1.0,-1.0,-1.0,-1.0,-1.0
16,01/04/2020,01/01/2020,-1.0,-1.0,-1.0,-1.0,-1.0
17,01/07/2020,01/04/2020,-1.0,-1.0,-1.0,-1.0,-1.0
18,01/10/2020,01/07/2020,-1.0,-1.0,-1.0,-1.0,-1.0
19,01/01/2021,01/10/2020,2.6850660229799357,1.4422114228849283,3.4506823285887713,0.5645348294381347,0.33098788184240835
20,01/04/2021,01/01/2021,0.727403067366524,0.9893129177145026,2.8463807627946576,3.227752807206779,3.742795935929704
21,01/07/2021,01/04/2021,1.329962341857807,2.219250777684255,4.037448243955942,4.750538974350408,3.464931196804103
22,01/10/2021,01/07/2021,0.9230612031263754,1.8544268304419729,1.2405927597446704,3.4616315028776716,6.066527751590774
23,01/01/2022,01/10/2021,1.4740410764645968,1.0653938596204628,0.5539917560127317,1.6704753681300042,2.115390725958944
24,01/04/2022,01/01/2022,2.084540003151889,1.9760558987277128,0.7966663335726055,3.491554086503479,3.9731718179597477
25,01/07/2022,01/04/2022,-1.0,-1.0,-1.0,-1.0,-1.0
26,01/10/2022,01/07/2022,-1.0,-1.0,-1.0,-1.0,-1.0
